"","name","abrev","country","PubID","affiliation","year","country_study","Journal","Jour_country","Jour_continent"
"177","Whiles, MR","MRWS","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"178","Lips, KR","KRL","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"179","Pringle, CM","CMP","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"180","Kilham, SS","SSK","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"181","Connelly, S","SCOCONN","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"182","Brenes, R","RBR","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"183","Peterson, SD","SDPT","USA",3,"North America",2010,"Panama","Journal of the North American Benthological Society","United States","North America"
"184","Maltchik, L","LMK","Brazil",5,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"185","Rolon, AS","ASRL","Brazil",5,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"186","Stenert, C","CTNT","Brazil",5,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"187","Longo S, M","MLG","Colombia",6,"Latin America",2010,"Colombia","Limnetica","Spain","Europe"
"188","Zamora G, H","HZGO","Colombia",6,"Latin America",2010,"Colombia","Limnetica","Spain","Europe"
"189","Guisande G, C","CGG","Spain",6,"Europe",2010,"Colombia","Limnetica","Spain","Europe"
"190","Jairo Ramirez JR","JRJR","Colombia",6,"Latin America",2010,"Colombia","Limnetica","Spain","Europe"
"191","Colon-Gaud, C","CCG","Puerto Rico",9,"Latin America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"192","Whiles, MR","MRWS","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"193","Brenes, R","RBR","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"194","Kilham, SS","SSK","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"195","Lips, KR","KRL","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"196","Pringle, CM","CMP","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"197","Connelly, S","SCOCONN","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"198","Peterson, SD","SDPT","USA",9,"North America",2010,"Panama","FRESHWATER BIOLOGY","United Kingdom","Europe"
"199","Maltchik, L","LMK","Brazil",14,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"200","Stenert, C","CTNT","Brazil",14,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"201","Kotzian, CB","CBK","Brazil",14,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"202","Pereira, D","DPR","Brazil",14,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"203","Lucca, JV","JVLC","Brazil",15,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"204","Pamplin, PAZ","PAZP","Brazil",15,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"205","Gessner, AF","AFG","Brazil",15,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"206","Trivinho-Strixino, S","STSX","Brazil",15,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"207","Spadano-Albuquerque, AL","ALSA","Brazil",15,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"208","Rocha, O","ORO","Brazil",15,"Latin America",2010,"Brazil","Brazilian Journal of Biology","Brazil","Latin America"
"209","Encalada, AC","ACE","Ecuador",16,"Latin America",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"210","Calles, J","JC","Netherlands",16,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"211","Ferreira, V","VERFERR","Portugal",16,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"212","Canhoto, CM","CMC","Portugal",16,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"213","Graca, MAS","MASG","Portugal",16,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"214","Buecker, A","ABU","Germany",17,"Europe",2010,"Ecuador","Fundamental and Applied Limnology","Germany","Europe"
"215","Sondermann, M","MSDN","Germany",17,"Europe",2010,"Ecuador","Fundamental and Applied Limnology","Germany","Europe"
"216","Frede, HG","HGF","Germany",17,"Europe",2010,"Ecuador","Fundamental and Applied Limnology","Germany","Europe"
"217","Breuer, L","LUTBRE","Germany",17,"Europe",2010,"Ecuador","Fundamental and Applied Limnology","Germany","Europe"
"218","Henriques-Oliveira, AL","ALHO","Brazil",18,"Latin America",2010,"Brazil","Biota Neotropica","Brazil","Latin America"
"219","Nessimian, JL","JORLNEM","Brazil",18,"Latin America",2010,"Brazil","Biota Neotropica","Brazil","Latin America"
"220","Jacobsen, D","DENJD","Denmark",23,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"221","Dangles, O","OLIDAN","Ecuador",23,"Latin America",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"222","Andino, P","PA","Ecuador",23,"Latin America",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"223","Espinosa, R","RODESP","Ecuador",23,"Latin America",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"224","Hamerlik, L","LADHAM","Slovakia",23,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"225","Cadier, E","ECDI","France",23,"Europe",2010,"Ecuador","FRESHWATER BIOLOGY","United Kingdom","Europe"
"226","Buss, DF","DANFB","Brazil",25,"North America",2010,"Brazil","Journal of the North American Benthological Society","United States","North America"
"227","Vitorino, AS","ASVT","Brazil",25,"Latin America",2010,"Brazil","Journal of the North American Benthological Society","United States","North America"
"228","Valdovinos, C","CVAV","Chile",26,"Latin America",2010,"Chile","Revista Chilena de Historia Natural","Chile","Latin America"
