"","abrev","country"
"737","LGD","Colombia"
"738","JVEV","Colombia"
"739","RSRZ","Brazil"
"740","ALP","Brazil"
"741","MTFP","Brazil"
"742","HLC","Brazil"
"743","PMSZ","Brazil"
"744","NLB","Brazil"
"745","APPF","Brazil"
"746","SDO","France"
"747","AASH","USA"
"748","BAG","USA"
"749","CWF","USA"
"750","JMG","Ecuador"
"751","BCK","USA"
"752","NLPF","USA"
"753","SATH","USA"
"754","KRZO","USA"
"755","CKG","USA"
"756","DSVE","Brazil"
"757","KCC","Brazil"
"758","LMC","USA"
"759","RWH","USA"
"760","JLGN","Brazil"
"761","AMPS","Brazil"
"762","ASVA","Brazil"
"763","RBO","Brazil"
"764","AMAS","Brazil"
"765","AOM","Brazil"
"766","ATH","USA"
"767","KDS","Brazil"
"768","RPL","Brazil"
"769","CGL","Brazil"
"770","AMSD","Ecuador"
"771","DSFN","Ecuador"
"772","RFVZ","Ecuador"
"773","MOTK","Brazil"
"774","BDS","Brazil"
"775","EAR","Brazil"
"776","CNT","Argentina"
"777","XMCO","Brazil"
"778","RDL","Brazil"
"779","FRO","Argentina"
"780","PRM","Argentina"
"781","HRF","Argentina"
"782","VM","Argentina"
"783","MJM","Argentina"
"784","ASLZ","Germany"
"785","USP","Germany"
"786","MMC","Mexico"
"787","MWFF","Germany"
"788","AYAZ","Mexico"
"789","VNL","Brazil"
"790","FMS","Brazil"
"791","RBSO","Brazil"
"792","PMA","Brazil"
"793","AFO","Brazil"
"794","CYSS","Brazil"
"795","EFSI","Brazil"
"796","RFL","Brazil"
"797","PBC","Brazil"
"798","TPMO","Brazil"
"799","HHLS","Brazil"
"800","LALR","Brazil"
"801","FATR","Peru"
"802","FRPN","Peru"
"803","ASK","USA"
"804","JLSY","USA"
"805","MBMC","Costa Rica"
"806","ATQN","Cuba"
"807","BRTU","Cuba"
"808","CZMZ","Spain"
"809","TDE","Slovakia"
"810","CMR","Spain"
"811","TBVE","Brazil"
"812","ARD","Brazil"
"813","BMOB","Brazil"
"814","CMCS","Brazil"
"815","JOSL","Brazil"
"816","LLQ","Brazil"
"817","SLO","Brazil"
"818","MLBI","Brazil"
"819","EON","Brazil"
"820","ALM","Brazil"
"821","MICA","Brazil"
"822","LHA","Brazil"
"823","MCBA","Brazil"
"824","DBP","Brazil"
"825","RDJR","Brazil"
"826","RJCV","Belgium"
"827","XIV","Ecuador"
"828","GCV","Ecuador"
"829","CDG","Ecuador"
"830","FC","Ecuador"
"831","INP","Belgium"
"832","TSP","Brazil"
"833","JFGP","Brazil"
"834","CEC","Brazil"
"835","JER","Ecuador"
"836","DMH","Ecuador"
"837","ASPR","Ecuador"
"838","DRJ","Ecuador"
"839","EZU","Ecuador"
"840","CGM","USA"
"841","LAF","USA"
"842","MPLO","Brazil"
"843","ELA","Brazil"
"844","JELB","Brazil"
"845","LGVN","Brazil"
"846","MEA","Brazil"
"847","HFSG","Brazil"
"848","MM","Argentina"
"849","MD","Argentina"
"850","JWMC","USA"
"851","MEG","Venezuela"
"852","PHA","USA"
"853","FLS","USA"
"854","BDF","USA"
"855","JHS","USA"
"856","RETM","USA"
"857","ERG","USA"
"858","NRPO","USA"
"859","MMG","USA"
"860","KLC","USA"
"861","AB","USA"
"862","PWM","USA"
"863","MPNS","USA"
"864","WCF","USA"
"865","LH","Poland"
"866","FLS","Brazil"
"867","DCSA","Brazil"
"868","HSRC","Brazil"
"869","RKUM","Brazil"
"870","NFSG","Brazil"
"871","WVE","Belgium"
"872","MAEF","Belgium"
"873","JVBT","Belgium"
"874","JADU","Belgium"
"875","ASG","Brazil"
"876","GCC","USA"
"877","GBB","Brazil"
"878","MLSB","Brazil"
"879","SSAS","Brazil"
"880","ERJ","USA"
"881","BWSL","USA"
"882","JROA","Guatemala"
"883","JMSY","USA"
"884","STC","USA"
"885","FRM","Guatemala"
"886","DSME","Brazil"
"887","CAS","Brazil"
"888","FG","Brazil"
"889","CHTG","Brazil"
"890","CRB","Brazil"
"891","NCLS","Brazil"
"892","EGB","Spain"
"893","JDD","Brazil"
"894","TMP","Brazil"
"895","IDA","Brazil"
"896","KVSE","Brazil"
"897","AAA","Brazil"
"898","THTN","Belgium"
"899","MNDA","Belgium"
"900","NSHA","Belgium"
"901","CVHY","Belgium"
"902","GAPA","Colombia"
"903","IMZ","Spain"
